probe_type,context_type,task,layer,train_loss,val_loss,test_acc,test_precision,test_recall,test_f1
mass_mean,subanswer,correct,12,0.6249575018882751,0.6424002051353455,0.6444444444444445,0.6553846153846153,0.8160919540229885,0.726962457337884
mass_mean,subanswer,correct,16,0.6163936257362366,0.6326966285705566,0.6488888888888888,0.6666666666666666,0.789272030651341,0.7228070175438597
mass_mean,subanswer,correct,20,0.6198416948318481,0.6314494609832764,0.64,0.6644518272425249,0.7662835249042146,0.7117437722419928
mass_mean,subanswer,correct,24,0.6213180422782898,0.6348636150360107,0.64,0.6724738675958188,0.7394636015325671,0.7043795620437957
mass_mean,subanswer,correct,28,0.6169328689575195,0.6282391548156738,0.6466666666666666,0.6758620689655173,0.7509578544061303,0.7114337568058077
mass_mean,subanswer,correct,31,0.6278789639472961,0.6504586338996887,0.6088888888888889,0.6579925650557621,0.6781609195402298,0.6679245283018868
mass_mean,subanswer,correct_given_recall1,4,0.6331853270530701,0.6691052317619324,0.64,0.6736842105263158,0.735632183908046,0.7032967032967034
mass_mean,subanswer,correct_given_recall1,8,0.6378087401390076,0.6552717089653015,0.6377777777777778,0.6540880503144654,0.7969348659003831,0.7184801381692574
mass_mean,subanswer,correct_given_recall1,12,0.6376088857650757,0.6526187062263489,0.64,0.6571428571428571,0.7931034482758621,0.71875
mass_mean,subanswer,correct_given_recall1,16,0.6249265670776367,0.642577052116394,0.62,0.6510067114093959,0.7432950191570882,0.6940966010733453
mass_mean,subanswer,correct_given_recall1,20,0.6161268353462219,0.6489405632019043,0.6466666666666666,0.6821428571428572,0.7318007662835249,0.7060998151571164
mass_mean,subanswer,correct_given_recall1,24,0.6291793584823608,0.634661853313446,0.6444444444444445,0.6784452296819788,0.735632183908046,0.7058823529411765
mass_mean,subanswer,correct_given_recall1,28,0.6173290610313416,0.6466137766838074,0.6444444444444445,0.6891385767790262,0.7049808429118773,0.6969696969696969
mass_mean,subanswer,correct_given_recall1,31,0.6316812038421631,0.6648685932159424,0.5933333333333334,0.657258064516129,0.6245210727969349,0.6404715127701376
mass_mean,subanswer,recall_full,4,0.6622609496116638,0.6625502109527588,0.66,0.7652733118971061,0.7484276729559748,0.7567567567567568
mass_mean,subanswer,recall_full,8,0.6612376570701599,0.6622093319892883,0.6777777777777778,0.7932203389830509,0.7358490566037735,0.763458401305057
mass_mean,subanswer,recall_full,12,0.6544183492660522,0.654161810874939,0.6511111111111111,0.7824561403508772,0.7012578616352201,0.7396351575456053
mass_mean,subanswer,recall_full,16,0.6486214995384216,0.6631236672401428,0.6711111111111111,0.7951388888888888,0.720125786163522,0.7557755775577557
mass_mean,subanswer,recall_full,20,0.6561618447303772,0.6588242053985596,0.6666666666666666,0.7937062937062938,0.7138364779874213,0.7516556291390728
mass_mean,subanswer,recall_full,24,0.6621198654174805,0.6503426432609558,0.7066666666666667,0.801948051948052,0.7767295597484277,0.7891373801916934
mass_mean,subanswer,recall_full,28,0.6540204882621765,0.6545735597610474,0.6666666666666666,0.7876712328767124,0.7232704402515723,0.7540983606557377
mass_mean,subanswer,recall_full,31,0.6564127802848816,0.6607052683830261,0.6044444444444445,0.7464788732394366,0.6666666666666666,0.7043189368770764
